image_id,category,gold_labels,predicted_labels,explanation
TE-104.jpg,BRAND_DEPENDENT,"[1,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","CONTEXT: This is a bilingual (Hindi/English) Indian meme using a simple cartoon template to express the feeling that even comforting activities, like eating favorite foods, cannot fix underlying emotional distress.

1. MOOD/EMOTIONAL STATE: The character displays sadness and a flat affect through their downturned mouth and expressionless eyes. The text ""heal my feelings"" explicitly indicates emotional pain or emptiness that persists despite external comfort.

2. MOTIVATION/INTEREST: The image depicts an inability to derive pleasure from normally enjoyable things, as"
TE-177.jpg,BRAND_DEPENDENT,"[1,0,0,0,1,0,0]","[0,0,0,0,0,0,0]","1. MOOD/EMOTIONAL STATE: The text uses a mocking and insulting tone (""साले ठरकी"" - you pervert). The implied excessive behavior could suggest loneliness or emptiness.

2. MOTIVATION/INTEREST: The image implies an obsessive consumption of content, and the text suggests a lack of real-world social interest by telling the user to ""go find a girl"".

3. SELF-HARM/DEATH THOUGHTS: not shown

4. APPETITE/EATING: not shown

5. SELF-WORTH/GUILT: The text directly insults the user, calling them a ""pervert,"" which could imply shame or low self-worth.

6. CONCENTRATION/THINKING: not shown

7. SLEEP"
TE-184.jpg,BRAND_DEPENDENT,"[1,0,1,0,0,0,0]","[0,0,0,0,0,0,0]","1. MOOD/EMOTIONAL STATE: The text ""अंदर से ख़त्म"" (finished from inside) in the bottom panel expresses a feeling of emptiness, hopelessness, or being emotionally drained.

2. MOTIVATION/INTEREST: The state of"
TE-195.jpg,BRAND_DEPENDENT,"[0,0,0,1,1,0,0]","[1,1,0,0,0,0,0]","1. MOOD/EMOTIONAL STATE: The image expresses a feeling of being completely overwhelmed, stressed, or anguished by daily life responsibilities, collectively labeling them as ""Hell"" (नरक).

2. MOTIVATION/INTEREST: The person indicates a severe lack of motivation or enjoyment for standard life activities like studying, exercising, or socializing"
TE-285.jpg,BRAND_DEPENDENT,"[1,0,1,0,0,0,0]","[1,0,1,0,0,0,0]","**CONTEXT:** This is a Hindi infographic using a comparative format to highlight age-related biases in perceiving depression, urging early treatment to prevent suicide.

1.  **MO"
TE-303.jpg,BRAND_DEPENDENT,"[1,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","1. MOOD/EMOTIONAL STATE: The text explicitly mentions ""anxiety,"" and the man's expression shows shock, fear, and paranoia.

2. MOTIVATION/INTEREST: not shown

3. SELF-HARM/DEATH THOUGHTS: not shown

4. APPETITE/EATING: not shown

5. SELF-WORTH/GUILT: not shown

6. CONCENTRATION/THINKING: The text implies a state of hyper-alertness and catastrophic thinking, where a simple sound triggers the fearful question, ""What kind of trouble is this?"".

7. SLEEP: The text specifies the time as ""2:30 AM,"" indicating the person is awake at an unusual hour, which suggests sleep disruption.

CONTEXT: This is a meme using a popular Bollywood comedy still to humorously depict the relatable experience of late-night anxiety and paranoia."
TE-343.jpg,BRAND_DEPENDENT,"[0,0,0,1,0,0,0]","[0,0,0,0,0,0,0]","1. MOOD/EMOTIONAL STATE: The top panel shows sadness and crying, while the bottom panel shows happiness and smiling.
2. MOTIVATION/INTEREST: Not shown.
3. EXISTENTIAL/EMOTIONAL INTENSITY: Not shown.
4. APPETITE/EATING: The text mentions eating a ""samosa"" at an ""untimely"" hour and the distress of having to log it on a health app.
5. SELF-WORTH/GUILT: The top panel implies guilt or distress related to eating an unhealthy food item and having to track it.
6. CONCENTRATION/THINKING: Not shown.
7. SLEEP: Not shown.

CONTEXT: This is a meme using a two-panel reaction format to humorously contrast the negative feeling of logging bad food with the positive feeling of a dark mode UI update."
TE-378.jpg,BRAND_DEPENDENT,"[0,0,0,1,0,0,0]","[0,0,0,0,0,0,0]","CONTEXT: This image shows a novelty wooden plaque featuring folk art of a bear paired with humorous, hyperbolic Hindi text threatening violence if masala chai is not provided.

1. MOOD/EMOTIONAL STATE: The text expresses a demanding and threatening mood, hyperbolically conveying an intense, almost desperate need for masala chai.

2. MOTIVATION/INTER"
TE-549.jpg,BRAND_DEPENDENT,"[0,0,0,0,0,1,0]","[0,0,0,0,0,0,0]","1. MOOD/EMOTIONAL STATE: Not shown.
2. MOTIVATION/INTEREST: Not shown.
3. SELF-HARM/DEATH THOUGHTS: Not shown.
4. APPETITE/EATING: Not shown.
5. SELF-WORTH/GUILT: Not shown.
6. CONCENTRATION/THINKING: Not shown.
7. SLEEP: Not shown.

CONTEXT: This image is promotional artwork for a musical track, featuring the song titles and artist names in Hindi."
TE-583.jpg,BRAND_DEPENDENT,"[0,0,0,1,0,0,0]","[0,0,0,0,0,0,0]","1. MOOD/EMOTIONAL STATE: The meme shows a progression from confidence and excitement to shock and disappointment.

2. MOTIVATION/INTEREST: The person is motivated to accurately track the calories of their cold coffee, showing an interest in diet and health monitoring.

3. SELF-HARM/DEATH THOUGHTS: not shown

4. APPETITE/EATING: The text explicitly mentions tracking calories for ""cold coffee"" and knowing ingredients, indicating a focus on dietary intake.

5. SELF-WORTH/GUILT: not shown

6. CONCENTRATION/THINKING: The person is engaged in a multi-step process to calculate calories, which leads to an unexpected and confusing result.

7. SLEEP: not shown

CONTEXT: This uses the popular ""Gru's Plan"" meme format to depict a plan that goes unexpectedly wrong at the final step."
